Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Steering_Angle,Angle,FPS
111,0,311,299,300,0.38875,0.37375,0.375,-0.01125,-0.02625,-0.025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.0
112,0,312,298,299,0.39,0.3725,0.37375,-0.01,-0.0275,-0.02625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.8
113,0,313,298,299,0.39125,0.3725,0.37375,-0.00875,-0.0275,-0.02625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.9
114,0,313,297,298,0.39125,0.37125,0.3725,-0.00875,-0.02875,-0.0275,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
115,0,313,297,297,0.39125,0.37125,0.37125,-0.00875,-0.02875,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
116,0,314,296,297,0.3925,0.37,0.37125,-0.0075,-0.03,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
117,0,313,295,297,0.39125,0.36875,0.37125,-0.00875,-0.03125,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
118,0,314,295,297,0.3925,0.36875,0.37125,-0.0075,-0.03125,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.6
119,0,315,295,297,0.39375,0.36875,0.37125,-0.00625,-0.03125,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
120,0,315,295,297,0.39375,0.36875,0.37125,-0.00625,-0.03125,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.6
121,0,317,295,297,0.39625,0.36875,0.37125,-0.00375,-0.03125,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.7
122,0,317,296,297,0.39625,0.37,0.37125,-0.00375,-0.03,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.6
123,0,318,296,296,0.3975,0.37,0.37,-0.0025,-0.03,-0.03,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.7
124,0,319,296,296,0.39875,0.37,0.37,-0.00125,-0.03,-0.03,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.1
125,0,320,296,295,0.4,0.37,0.36875,0.0,-0.03,-0.03125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.0
126,0,319,295,296,0.39875,0.36875,0.37,-0.00125,-0.03125,-0.03,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
127,0,321,295,295,0.40125,0.36875,0.36875,0.00125,-0.03125,-0.03125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.2
128,0,321,295,297,0.40125,0.36875,0.37125,0.00125,-0.03125,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.1
129,0,323,296,299,0.40375,0.37,0.37375,0.00375,-0.03,-0.02625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.4
130,0,324,297,298,0.405,0.37125,0.3725,0.005,-0.02875,-0.0275,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.1
131,0,324,297,299,0.405,0.37125,0.37375,0.005,-0.02875,-0.02625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.1
132,0,324,297,297,0.405,0.37125,0.37125,0.005,-0.02875,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.5
133,0,324,297,297,0.405,0.37125,0.37125,0.005,-0.02875,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
134,0,325,297,297,0.40625,0.37125,0.37125,0.00625,-0.02875,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,2.9
135,0,325,298,296,0.40625,0.3725,0.37,0.00625,-0.0275,-0.03,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.3
136,0,325,299,297,0.40625,0.37375,0.37125,0.00625,-0.02625,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.4
137,0,327,299,297,0.40875,0.37375,0.37125,0.00875,-0.02625,-0.02875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.7
138,0,328,299,299,0.41000000000000003,0.37375,0.37375,0.01,-0.02625,-0.02625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.6
139,0,328,300,299,0.41000000000000003,0.375,0.37375,0.01,-0.025,-0.02625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.6
